magnitudes	Swill6_5
NODE_B150_length_1313_cov_13.140777_S18	3400
NODE_B154_length_1303_cov_5.473083_S18	1148
NODE_B156_length_1293_cov_3.099507_S18	1127
NODE_B157_length_1290_cov_10.162407_S18	3678
NODE_A626_length_1279_cov_100.439268_S18	2782
NODE_A643_length_1265_cov_39.553872_S18	1268
NODE_B165_length_1264_cov_3.796967_S18	1038
NODE_B167_length_1262_cov_8.800844_S18	4036
NODE_B168_length_1259_cov_6.270728_S18	2007
NODE_A659_length_1255_cov_33.689304_S18	831
NODE_A666_length_1253_cov_34.748299_S18	1300
NODE_A681_length_1247_cov_42.599145_S18	1383
NODE_A691_length_1242_cov_8.787124_S18	1059
NODE_A701_length_1235_cov_11.557858_S18	850
NODE_A712_length_1231_cov_4.991334_S18	1410
NODE_B180_length_1229_cov_12.084201_S18	4660
NODE_A719_length_1223_cov_69.707679_S18	2060
NODE_A769_length_1198_cov_19.482605_S18	1333
NODE_A771_length_1197_cov_25.453571_S18	793
NODE_A785_length_1190_cov_30.832884_S18	1155
NODE_A808_length_1182_cov_30.726697_S18	974
NODE_A817_length_1181_cov_323.807971_S18	5449
NODE_A834_length_1175_cov_37.988160_S18	934
NODE_A844_length_1171_cov_65.708410_S18	2435
NODE_B202_length_1170_cov_3.147301_S18	1010
NODE_A863_length_1161_cov_25.542435_S18	1024
NODE_A869_length_1158_cov_16.472710_S18	1033
NODE_A875_length_1157_cov_43.237963_S18	969
NODE_A876_length_1157_cov_31.795370_S18	3055
NODE_A888_length_1151_cov_14.017691_S18	690
NODE_A913_length_1144_cov_25.465792_S18	696
NODE_C26_length_1134_cov_11.299905_S18	21423
NODE_B222_length_1132_cov_3.185782_S18	685
NODE_A990_length_1119_cov_14.094050_S18	761
NODE_A1004_length_1115_cov_20.522158_S18	694
NODE_A1020_length_1110_cov_20.539206_S18	766
NODE_B233_length_1108_cov_5.526673_S18	1077
NODE_B238_length_1101_cov_1.645508_S18	731
NODE_A1063_length_1097_cov_33.290196_S18	712
NODE_A1065_length_1096_cov_20.338567_S18	740
