magnitudes	PMG_SW_5
NODE_A346_length_980_cov_49.918051_S24	2050
NODE_A375_length_954_cov_91.954390_S24	1411
NODE_A432_length_907_cov_28.697590_S24	789
NODE_A478_length_876_cov_54.478098_S24	681
NODE_A508_length_858_cov_50.536492_S24	650
NODE_A509_length_858_cov_4.066581_S24	753
NODE_A540_length_839_cov_45.486877_S24	535
NODE_A559_length_830_cov_39.042497_S24	535
NODE_A615_length_805_cov_8.484890_S24	528
NODE_A761_length_747_cov_137.786567_S24	1497
NODE_A983_length_691_cov_71.167752_S24	1160
NODE_A1036_length_678_cov_3.081531_S24	777
NODE_A1046_length_675_cov_279.295987_S24	1510
NODE_A1163_length_647_cov_121.824561_S24	1630
NODE_A1212_length_637_cov_61.076786_S24	592
NODE_A1419_length_603_cov_24.482890_S24	427
NODE_A1433_length_599_cov_76.620690_S24	1762
NODE_A1472_length_595_cov_70.083012_S24	1323
NODE_A1624_length_575_cov_5482.096386_S24	493
NODE_A1680_length_567_cov_62.273469_S24	740
NODE_A2119_length_519_cov_24.298643_S24	489
NODE_A2137_length_517_cov_55.813636_S24	469
NODE_A2241_length_508_cov_13.366589_S24	497
NODE_A2267_length_506_cov_9.067599_S24	379
NODE_A2288_length_504_cov_5.292740_S24	687
NODE_A17_length_15349_cov_1246.287323_S25	149803
NODE_A178_length_1222_cov_13.122271_S25	2214
NODE_A248_length_1022_cov_75.717460_S25	41136
NODE_A682_length_624_cov_19.893967_S25	705
NODE_A4_length_2806_cov_29365.524368_S27	2184750
NODE_B5_length_1769_cov_33.682624_S27	1782
NODE_B28_length_962_cov_15.966102_S27	894
NODE_A276_length_862_cov_7.143949_S27	743
NODE_B107_length_661_cov_5.794521_S27	1007
NODE_A1214_length_594_cov_32.754352_S27	690
NODE_A1970_length_531_cov_14.887665_S27	2044
NODE_A2048_length_527_cov_4.900000_S27	885
NODE_B117_length_1627_cov_38.383226_S30	1296
NODE_B324_length_1146_cov_24.715622_S30	1658
NODE_B1851_length_608_cov_3.261770_S30	1903
NODE_B225_length_548_cov_0.738854_S33	763
NODE_A150_length_1248_cov_28.818958_S34	3525
NODE_A157_length_1229_cov_15.807292_S34	2399
NODE_B89_length_704_cov_2.194577_S34	2046
NODE_A75_length_1575_cov_28.403204_S37	1009
NODE_A106_length_1394_cov_505.990888_S37	6801
NODE_A113_length_1345_cov_60.792587_S37	1427
NODE_A154_length_1192_cov_9.295067_S37	4218
NODE_A255_length_974_cov_6.739130_S37	2361
NODE_A343_length_877_cov_55.455000_S37	610
NODE_B94_length_815_cov_165.056911_S37	3655
NODE_A473_length_786_cov_334.987306_S37	2123
NODE_A515_length_759_cov_50.677419_S37	1330
NODE_A561_length_737_cov_29.854545_S37	1392
NODE_A600_length_722_cov_82.603101_S37	1041
NODE_A763_length_654_cov_53.767764_S37	563
NODE_A949_length_601_cov_2.963740_S37	552
NODE_A983_length_593_cov_328.742248_S37	2630
NODE_A1022_length_584_cov_79.867850_S37	1238
NODE_A1195_length_550_cov_17.602537_S37	397
