magnitudes	CF6_6
NODE_A810_length_731_cov_3.515291_S36	750
NODE_B272_length_729_cov_7.860429_S36	5498
NODE_B273_length_729_cov_4.116564_S36	4379
NODE_A821_length_728_cov_7.764977_S36	855
NODE_A824_length_727_cov_8.541538_S36	658
NODE_B275_length_727_cov_3.506154_S36	1447
NODE_A828_length_726_cov_4.782743_S36	1216
NODE_A830_length_725_cov_6.902778_S36	1526
NODE_B276_length_725_cov_5.682099_S36	1709
NODE_B278_length_725_cov_3.466049_S36	1044
NODE_A837_length_723_cov_5.498452_S36	743
NODE_B280_length_722_cov_2.316279_S36	1248
NODE_A842_length_721_cov_22.770186_S36	756
NODE_A843_length_721_cov_18.773292_S36	1159
NODE_A846_length_720_cov_3.517885_S36	625
NODE_B281_length_719_cov_5.447040_S36	2470
NODE_A847_length_718_cov_14.558502_S36	533
NODE_B286_length_717_cov_1.723437_S36	915
NODE_B287_length_716_cov_3.782473_S36	1485
NODE_A861_length_714_cov_4.353218_S36	1635
NODE_A862_length_713_cov_3.180818_S36	890
NODE_A865_length_712_cov_6.069291_S36	587
NODE_A866_length_712_cov_5.384252_S36	710
NODE_A872_length_711_cov_11.569401_S36	672
NODE_A873_length_711_cov_10.645110_S36	1325
NODE_A876_length_708_cov_4.442155_S36	701
NODE_A877_length_708_cov_4.399366_S36	2597
NODE_B303_length_708_cov_7.386688_S36	3140
NODE_A879_length_707_cov_28.888889_S36	477
NODE_B307_length_705_cov_4.300955_S36	1910
NODE_B308_length_705_cov_2.501592_S36	2106
NODE_A891_length_703_cov_12.376997_S36	1693
NODE_A892_length_703_cov_5.956869_S36	1454
NODE_A898_length_701_cov_23.738782_S36	832
NODE_B313_length_698_cov_4.748792_S36	3348
NODE_A909_length_697_cov_15.077419_S36	606
NODE_A910_length_697_cov_11.290323_S36	468
NODE_C6_length_697_cov_3.719355_S36	19854
NODE_B315_length_696_cov_10.374798_S36	1776
NODE_A919_length_695_cov_5.367314_S36	4279
NODE_B320_length_693_cov_1.545455_S36	758
NODE_C8_length_692_cov_3.000000_S36	10381
NODE_B321_length_691_cov_9.255700_S36	8359
NODE_B328_length_689_cov_1.246732_S36	646
NODE_A945_length_688_cov_11.592471_S36	2035
NODE_C9_length_688_cov_7.453355_S36	11951
NODE_A951_length_687_cov_20.275410_S36	2095
NODE_A956_length_686_cov_18.709360_S36	1904
NODE_A957_length_686_cov_7.566502_S36	2193
NODE_A960_length_685_cov_8.675987_S36	692
NODE_B332_length_684_cov_5.390445_S36	1106
NODE_B333_length_684_cov_1.535420_S36	703
NODE_A971_length_683_cov_10.764026_S36	1027
NODE_A976_length_682_cov_17.452893_S36	2028
NODE_B335_length_682_cov_0.823140_S36	1150
NODE_A978_length_681_cov_15.440397_S36	740
NODE_B337_length_681_cov_2.374172_S36	574
NODE_A985_length_679_cov_20.024917_S36	905
NODE_A986_length_679_cov_14.157807_S36	1688
NODE_B339_length_679_cov_9.563123_S36	7365
NODE_A991_length_678_cov_7.600666_S36	838
NODE_A993_length_678_cov_4.207987_S36	504
NODE_A1000_length_677_cov_14.441667_S36	8325
NODE_A1002_length_677_cov_5.548333_S36	655
NODE_A999_length_677_cov_15.395000_S36	1113
NODE_B342_length_677_cov_15.881667_S36	9252
NODE_B346_length_674_cov_3.832496_S36	3507
NODE_A1011_length_673_cov_16.595638_S36	1392
NODE_A1012_length_673_cov_9.553691_S36	2246
NODE_A1014_length_673_cov_3.760067_S36	1600
NODE_A1015_length_673_cov_3.303691_S36	1104
NODE_A1025_length_671_cov_7.181818_S36	679
NODE_A1028_length_670_cov_4.497470_S36	538
NODE_A1032_length_670_cov_1.468803_S36	1113
NODE_A1033_length_669_cov_59.788851_S36	2067
NODE_A1034_length_669_cov_11.309122_S36	973
NODE_A1039_length_668_cov_8.769882_S36	556
NODE_A1040_length_667_cov_8.857627_S36	611
NODE_A1041_length_667_cov_6.638983_S36	4133
NODE_A1042_length_667_cov_5.711864_S36	1167
NODE_A1044_length_667_cov_3.922034_S36	4580
NODE_A1050_length_666_cov_4.896435_S36	1346
NODE_A1052_length_666_cov_2.898132_S36	1561
NODE_A1054_length_665_cov_5.865646_S36	642
NODE_A1055_length_665_cov_5.108844_S36	811
NODE_A1057_length_665_cov_4.399660_S36	1028
NODE_A1058_length_665_cov_4.146259_S36	759
NODE_C14_length_665_cov_2.197279_S36	2848
NODE_A1063_length_664_cov_8.417376_S36	1590
NODE_A1067_length_663_cov_8.573379_S36	888
NODE_A1068_length_663_cov_5.687713_S36	1872
NODE_A1069_length_663_cov_4.513652_S36	1072
NODE_B366_length_663_cov_2.237201_S36	1164
NODE_A1070_length_662_cov_5.129915_S36	941
NODE_B368_length_662_cov_2.673504_S36	2124
NODE_A1072_length_661_cov_4.933219_S36	1302
NODE_B369_length_661_cov_8.982877_S36	4571
NODE_A1077_length_660_cov_4.600343_S36	868
NODE_A1078_length_659_cov_10.871134_S36	746
NODE_A1079_length_659_cov_3.989691_S36	719
NODE_A1080_length_659_cov_3.603093_S36	1039
NODE_A1085_length_658_cov_2.638554_S36	944
NODE_A1086_length_657_cov_7.850000_S36	668
NODE_B379_length_657_cov_0.908621_S36	1004
NODE_A1095_length_655_cov_7.949827_S36	1589
NODE_A1099_length_654_cov_6.724437_S36	611
NODE_A1102_length_654_cov_3.927210_S36	1345
NODE_B382_length_654_cov_5.259965_S36	3119
NODE_A1103_length_653_cov_49.192708_S36	962
NODE_A1104_length_653_cov_18.281250_S36	3418
NODE_A1105_length_653_cov_16.909722_S36	1042
NODE_A1106_length_653_cov_13.125000_S36	694
NODE_A1111_length_653_cov_4.453125_S36	663
NODE_A1114_length_653_cov_2.545139_S36	1427
NODE_B389_length_653_cov_0.961806_S36	1242
NODE_A1117_length_652_cov_26.586087_S36	446
NODE_A1119_length_652_cov_5.535652_S36	1107
NODE_C16_length_652_cov_2.899130_S36	7254
NODE_B392_length_651_cov_4.397213_S36	2684
NODE_A1132_length_650_cov_7.867365_S36	1606
NODE_A1134_length_650_cov_5.532286_S36	2091
NODE_A1142_length_649_cov_3.715035_S36	721
NODE_B399_length_649_cov_5.744755_S36	4051
NODE_A1146_length_648_cov_28.861646_S36	462
NODE_A1150_length_647_cov_44.768421_S36	1253
NODE_A1151_length_647_cov_17.575439_S36	2161
NODE_A1154_length_647_cov_2.105263_S36	864
NODE_B403_length_647_cov_3.991228_S36	3941
NODE_A1159_length_646_cov_6.267135_S36	821
NODE_A1160_length_646_cov_5.356766_S36	966
NODE_B406_length_645_cov_23.704225_S36	17341
NODE_B409_length_645_cov_1.183099_S36	1165
NODE_A1171_length_644_cov_40.707231_S36	3722
NODE_A1173_length_644_cov_6.067019_S36	1519
NODE_A1182_length_642_cov_24.435398_S36	797
NODE_B414_length_642_cov_10.146903_S36	4082
NODE_B418_length_640_cov_19.992895_S36	10990
NODE_A1197_length_639_cov_12.135231_S36	998
NODE_A1198_length_639_cov_9.969751_S36	1322
NODE_B419_length_639_cov_3.754448_S36	1262
NODE_B420_length_639_cov_2.368327_S36	2400
NODE_A1202_length_638_cov_14.538324_S36	2651
NODE_A1205_length_638_cov_5.185383_S36	930
NODE_A1210_length_637_cov_14.769643_S36	1069
NODE_A1212_length_637_cov_8.942857_S36	1098
NODE_A1213_length_637_cov_5.473214_S36	9847
NODE_A1214_length_637_cov_4.498214_S36	1397
NODE_A1220_length_636_cov_6.057245_S36	4752
NODE_A1222_length_636_cov_4.196780_S36	933
NODE_A1223_length_636_cov_4.060823_S36	946
NODE_A1226_length_636_cov_3.812165_S36	771
NODE_A1235_length_635_cov_4.942652_S36	544
NODE_A1236_length_635_cov_4.284946_S36	499
NODE_A1246_length_634_cov_20.714542_S36	703
NODE_A1247_length_634_cov_8.481149_S36	456
NODE_B428_length_634_cov_2.495512_S36	1019
NODE_A1252_length_633_cov_69.291367_S36	610
NODE_B430_length_633_cov_3.643885_S36	1989
NODE_B431_length_633_cov_2.334532_S36	1428
NODE_A1257_length_632_cov_6.758559_S36	900
NODE_A1259_length_632_cov_4.234234_S36	554
NODE_A1260_length_632_cov_3.709910_S36	4918
NODE_B433_length_632_cov_1.133333_S36	456
NODE_A1266_length_631_cov_11.516245_S36	1111
NODE_A1268_length_631_cov_8.335740_S36	806
NODE_A1274_length_630_cov_10.461121_S36	912
NODE_A1275_length_630_cov_8.432188_S36	488
NODE_A1283_length_629_cov_11.063406_S36	574
NODE_A1285_length_629_cov_4.797101_S36	583
NODE_B440_length_629_cov_3.634058_S36	1246
NODE_A1291_length_628_cov_1.678766_S36	834
NODE_B441_length_628_cov_1.564428_S36	528
NODE_A1294_length_627_cov_7.863636_S36	1173
NODE_A1297_length_627_cov_4.212727_S36	662
NODE_B444_length_627_cov_1.721818_S36	866
NODE_A1303_length_626_cov_12.424408_S36	701
NODE_A1305_length_626_cov_4.876138_S36	530
NODE_B445_length_626_cov_34.442623_S36	11848
NODE_A1311_length_625_cov_24.983577_S36	486
NODE_B449_length_624_cov_1.866545_S36	899
NODE_A1325_length_623_cov_6.538462_S36	487
NODE_A1326_length_623_cov_5.868132_S36	1829
NODE_A1331_length_622_cov_5.820183_S36	469
