magnitudes	HG_CF_4
NODE_B324_length_1146_cov_24.715622_S30	10146
NODE_A4611_length_1136_cov_34.582625_S30	983
NODE_B333_length_1136_cov_3.877243_S30	854
NODE_A4645_length_1132_cov_25.510900_S30	700
NODE_A4678_length_1128_cov_42.110371_S30	1023
NODE_A4703_length_1125_cov_34.020992_S30	960
NODE_A4704_length_1125_cov_30.508588_S30	772
NODE_A4751_length_1120_cov_22.027804_S30	751
NODE_B346_length_1119_cov_4.851248_S30	709
NODE_A4902_length_1102_cov_43.666341_S30	1051
NODE_B360_length_1101_cov_5.957031_S30	1378
NODE_A4998_length_1092_cov_23.832512_S30	699
NODE_A5009_length_1091_cov_14.744576_S30	1067
NODE_B378_length_1079_cov_5.540918_S30	869
NODE_A5221_length_1067_cov_30.395960_S30	755
NODE_A5279_length_1062_cov_33.990863_S30	992
NODE_A5382_length_1054_cov_47.974411_S30	1265
NODE_A5440_length_1048_cov_23.645726_S30	657
NODE_A5735_length_1024_cov_31.120380_S30	836
NODE_A5785_length_1020_cov_24.752916_S30	761
NODE_A5787_length_1020_cov_13.089077_S30	1608
NODE_B448_length_1014_cov_4.506937_S30	824
NODE_B450_length_1012_cov_1.852406_S30	701
NODE_B454_length_1010_cov_5.286174_S30	1572
NODE_B455_length_1010_cov_3.448017_S30	684
NODE_A6003_length_998_cov_33.267101_S30	765
NODE_B474_length_996_cov_5.237214_S30	715
NODE_B492_length_988_cov_2.884742_S30	712
NODE_A6124_length_987_cov_38.760440_S30	797
NODE_A6161_length_985_cov_31.084802_S30	746
NODE_A6187_length_982_cov_25.564641_S30	643
NODE_A6253_length_976_cov_34.954394_S30	762
NODE_A6407_length_964_cov_41.173619_S30	1115
NODE_A6651_length_946_cov_24.967779_S30	584
NODE_A6733_length_940_cov_26.106605_S30	636
NODE_A6763_length_938_cov_24.695703_S30	574
NODE_A6897_length_929_cov_18.501174_S30	606
NODE_B587_length_929_cov_2.653756_S30	623
NODE_A6982_length_923_cov_27.413712_S30	608
NODE_B624_length_911_cov_3.913669_S30	774
NODE_A7322_length_901_cov_38.839806_S30	752
NODE_A7414_length_895_cov_29.419315_S30	584
NODE_A7462_length_891_cov_42.244472_S30	969
NODE_A7497_length_889_cov_15.863300_S30	657
NODE_A7532_length_887_cov_18.214815_S30	643
NODE_B688_length_873_cov_8.775126_S30	1754
NODE_B690_length_873_cov_5.757538_S30	1002
NODE_A7780_length_872_cov_31.177358_S30	620
NODE_B705_length_866_cov_9.229404_S30	868
NODE_A7919_length_864_cov_30.593393_S30	624
NODE_A8007_length_859_cov_21.570332_S30	646
NODE_B722_length_859_cov_3.419437_S30	687
NODE_A8059_length_856_cov_92.953787_S30	1416
NODE_A8082_length_855_cov_63.856041_S30	974
NODE_A8100_length_854_cov_51.731017_S30	1106
NODE_A8171_length_850_cov_28.362225_S30	560
NODE_A8172_length_850_cov_27.103493_S30	601
NODE_B757_length_847_cov_6.593506_S30	645
NODE_A8272_length_845_cov_32.235677_S30	617
NODE_A8404_length_838_cov_23.478318_S30	598
NODE_A8513_length_832_cov_35.655629_S30	839
NODE_B796_length_830_cov_5.273572_S30	886
NODE_B798_length_829_cov_4.897606_S30	770
NODE_A8613_length_826_cov_29.921228_S30	636
NODE_A8614_length_826_cov_29.009346_S30	761
