magnitudes	MMG_CF_5
NODE_A47_length_2406_cov_21.644483_S44	1411
NODE_A823_length_770_cov_9.137085_S4	660
NODE_A10_length_4745_cov_282.483290_S45	34224
NODE_B7_length_3443_cov_18.106061_S45	7709
NODE_A61_length_1608_cov_8.297191_S48	8118
NODE_A607_length_615_cov_7.198885_S49	1099
NODE_A331_length_1487_cov_6.607092_S5	1177
NODE_A6878_length_599_cov_7.034483_S5	587
NODE_A2_length_16366_cov_68.635644_S6	215883
NODE_B4_length_6468_cov_13.764669_S6	21622
NODE_B5_length_5275_cov_16.018661_S6	42014
NODE_A7_length_14701_cov_83.827749_S8	56291
NODE_A77_length_2098_cov_40.265710_S8	3006
NODE_C33_length_1962_cov_65.005836_S8	3740
NODE_A340_length_779_cov_3.168091_S8	749
NODE_A15_length_5070_cov_126.267775_S9	5119
NODE_A131_length_2620_cov_52.796697_S9	1659
NODE_C23_length_602_cov_674.215238_S9	3498
NODE_A6268_length_512_cov_244.018391_S9	445
