NODE	Virus	Class	Order 	Family
NODE_A1095_length_691_cov_1.724756_NC3	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A57_length_2446_cov_8.268890_S23	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A9_length_9301_cov_31.853317_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A28_length_3993_cov_64.958376_S22	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A29_length_6585_cov_45.903811_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1106_length_689_cov_5.526144_NC3	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A23_length_2645_cov_3.898754_S41	phage	Caudoviricetes	Unclassified	Schitoviridae
NODE_A75_length_2922_cov_16.932865_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A46_length_2298_cov_6.208014_S6	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A23_length_2313_cov_13.256261_NC3	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B27_length_5270_cov_7.320046_S20	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1911_length_897_cov_7.057317_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A3457_length_1307_cov_5.276423_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A33_length_5185_cov_14.277408_S25	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A14_length_8478_cov_24.425664_S38	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B65_length_1664_cov_2.230624_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A144_length_1936_cov_9.161377_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A176_length_1184_cov_9.920506_NC3	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A78_length_2378_cov_7.505867_S26	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A97_length_5948_cov_15.743485_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A98_length_1768_cov_6.234181_S25	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A7_length_40013_cov_28.039463_S25	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A358_length_888_cov_4.318126_S33	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A181_length_1243_cov_23.554889_S8	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1135_length_2120_cov_8.116985_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A19_length_6868_cov_29.708143_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A68_length_2842_cov_6.064738_S20	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A386_length_1509_cov_234.356145_S18	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A11_length_14471_cov_89.235515_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1088_length_693_cov_3.188312_NC3	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A109_length_2558_cov_13.438533_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A192_length_1531_cov_10.467675_S49	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1072_length_599_cov_3.860153_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A960_length_715_cov_5.832288_NC3	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A116_length_1470_cov_12.150036_S23	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A131_length_1724_cov_5.737705_S43	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A146_length_1814_cov_6.009787_S2	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A36_length_5082_cov_28.220380_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A17_length_7276_cov_23.443256_S38	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A81_length_1631_cov_45.121622_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A132_length_2334_cov_14.374834_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A24_length_3467_cov_13.625664_S44	phage	Caudoviricetes	Unclassified	Unclassified
